timestamp,messageType,latency,statusCode,roomId
1760132356917,TEXT,95,OK,19
1760132356899,TEXT,113,OK,20
1760132356916,TEXT,97,OK,9
1760132356917,TEXT,99,OK,5
1760132356937,TEXT,82,OK,16
1760132356912,TEXT,107,OK,14
1760132356937,TEXT,82,OK,13
1760132356939,TEXT,80,OK,7
1760132356937,TEXT,82,ERROR,15
1760132356938,TEXT,81,OK,12
1760132356940,TEXT,79,OK,15
1760132356916,TEXT,103,OK,1
1760132356916,TEXT,103,OK,18
1760132356939,TEXT,80,OK,18
1760132356917,TEXT,102,OK,10
1760132356916,TEXT,103,OK,8
1760132356917,TEXT,102,OK,16
1760132356948,LEAVE,71,OK,18
1760132356918,TEXT,101,OK,9
1760132356948,TEXT,76,OK,10
1760132356899,TEXT,125,OK,15
1760132356926,TEXT,98,OK,2
1760132356900,TEXT,124,OK,6
1760132356916,LEAVE,109,OK,4
1760132356948,TEXT,77,OK,1
1760132356949,TEXT,76,OK,12
1760132356903,TEXT,122,OK,20
1760132356949,TEXT,76,OK,5
1760132356949,TEXT,76,OK,16
1760132356906,TEXT,119,OK,13
1760132356949,TEXT,76,ERROR,2
1760132356906,TEXT,121,OK,1
1760132356919,TEXT,108,OK,9
1760132356949,TEXT,78,OK,4
1760132356916,TEXT,111,OK,10
1760132356921,TEXT,106,OK,2
1760132356934,TEXT,93,OK,11
1760132356916,TEXT,111,ERROR,13
1760132356939,TEXT,88,OK,6
1760132356916,TEXT,111,OK,17
1760132356937,TEXT,90,OK,11
1760132356940,TEXT,88,OK,4
1760132356916,TEXT,113,OK,18
1760132356941,TEXT,90,OK,2
1760132356940,TEXT,91,OK,17
1760132356922,TEXT,111,OK,3
1760132356945,TEXT,88,OK,17
1760132356899,TEXT,134,OK,3
1760132356948,TEXT,85,OK,5
1760132356919,TEXT,114,OK,11
1760132356948,TEXT,85,ERROR,3
1760132356948,TEXT,85,OK,10
1760132356903,TEXT,130,OK,12
1760132356919,TEXT,114,OK,5
1760132356902,TEXT,131,OK,4
1760132356948,TEXT,86,OK,6
1760132356903,TEXT,131,OK,17
1760132356919,TEXT,115,OK,7
1760132356905,TEXT,130,OK,15
1760132356949,TEXT,86,ERROR,11
1760132356949,TEXT,87,OK,9
1760132356916,JOIN,120,ERROR,20
1760132356949,TEXT,87,OK,20
1760132356949,TEXT,88,OK,14
1760132356916,TEXT,121,OK,13
1760132356920,TEXT,117,ERROR,3
1760132356949,TEXT,88,OK,16
1760132356920,TEXT,118,OK,8
1760132356916,TEXT,126,OK,7
1760132356948,TEXT,94,OK,14
1760132357019,TEXT,23,OK,7
1760132356949,TEXT,99,OK,19
1760132356937,TEXT,114,ERROR,8
1760132356951,TEXT,108,OK,19
1760132357019,TEXT,50,OK,16
1760132357025,TEXT,47,OK,12
1760132357012,TEXT,61,OK,20
1760132357019,TEXT,54,OK,13
1760132357013,TEXT,60,OK,9
1760132357016,TEXT,57,ERROR,5
1760132357019,TEXT,54,OK,12
1760132357025,TEXT,122,OK,16
1760132357027,TEXT,123,OK,2
1760132357073,TEXT,78,OK,20
1760132357069,TEXT,82,OK,16
1760132357048,TEXT,103,OK,19
1760132357072,TEXT,79,OK,12
1760132357051,TEXT,100,ERROR,8
1760132357059,TEXT,92,OK,19
1760132357073,TEXT,88,OK,13
1760132357073,TEXT,94,OK,9
1760132357073,TEXT,94,OK,12
1760132357073,TEXT,94,ERROR,5
1760132357027,TEXT,140,OK,6
1760132357029,JOIN,138,OK,18
1760132357028,TEXT,139,OK,4
1760132357031,JOIN,136,OK,2
1760132357031,TEXT,136,OK,17
1760132357033,TEXT,136,OK,17
1760132357033,TEXT,136,ERROR,3
1760132357033,TEXT,136,OK,10
1760132357033,TEXT,136,OK,5
1760132357033,TEXT,136,OK,3
1760132357033,TEXT,136,OK,11
1760132357033,LEAVE,136,OK,4
1760132357033,TEXT,136,ERROR,5
1760132357033,TEXT,136,OK,12
1760132357034,TEXT,135,OK,6
1760132357034,TEXT,135,OK,17
1760132357034,TEXT,135,OK,7
1760132357035,JOIN,157,ERROR,15
1760132357035,TEXT,157,OK,11
1760132357036,LEAVE,156,OK,20
1760132357037,TEXT,155,OK,14
1760132357037,TEXT,155,OK,13
1760132357037,LEAVE,155,ERROR,3
1760132357027,TEXT,165,OK,17
1760132357037,TEXT,155,OK,16
1760132357038,TEXT,154,OK,8
1760132357036,TEXT,156,OK,9
1760132357027,TEXT,165,ERROR,13
1760132357042,TEXT,150,OK,7
1760132357033,TEXT,159,OK,3
1760132357042,TEXT,150,OK,14
1760132357151,TEXT,41,OK,16
1760132357147,TEXT,45,OK,16
1760132357027,JOIN,165,ERROR,10
1760132357036,TEXT,156,OK,20
1760132357151,TEXT,41,OK,20
1760132357161,TEXT,31,OK,13
1760132357155,TEXT,37,OK,19
1760132357157,TEXT,35,OK,7
1760132357151,TEXT,41,ERROR,8
1760132357151,TEXT,41,OK,19
1760132357151,LEAVE,41,OK,19
1760132357151,TEXT,41,OK,12
1760132357027,TEXT,165,OK,11
1760132357150,JOIN,42,OK,2
1760132357027,TEXT,165,OK,1
1760132357027,TEXT,165,OK,11
1760132357167,TEXT,25,OK,12
1760132357167,JOIN,32,OK,9
1760132357167,TEXT,32,ERROR,5
1760132357167,TEXT,42,ERROR,18
1760132357042,TEXT,167,OK,7
1760132357167,TEXT,42,OK,17
1760132357167,TEXT,42,OK,4
1760132357169,TEXT,42,ERROR,3
1760132357169,TEXT,42,OK,3
1760132357169,JOIN,42,OK,10
1760132357169,TEXT,42,OK,17
1760132357169,TEXT,42,OK,6
1760132357169,TEXT,42,OK,5
1760132357169,LEAVE,42,OK,17
1760132357169,JOIN,42,OK,7
1760132357169,JOIN,42,OK,4
1760132357167,TEXT,44,OK,6
1760132357169,TEXT,42,ERROR,5
1760132357169,TEXT,42,OK,12
1760132357167,TEXT,44,ERROR,2
1760132357169,TEXT,42,OK,11
1760132357192,TEXT,25,OK,20
1760132357192,TEXT,29,OK,12
1760132357192,TEXT,29,OK,19
1760132357192,TEXT,30,ERROR,2
1760132357192,JOIN,31,ERROR,11
1760132357192,TEXT,37,OK,13
1760132357192,TEXT,39,ERROR,8
1760132357192,TEXT,39,OK,12
1760132357192,TEXT,39,OK,3
1760132357192,TEXT,39,OK,14
1760132357199,TEXT,32,ERROR,5
1760132357192,TEXT,39,OK,16
1760132357192,JOIN,40,ERROR,9
1760132357192,TEXT,40,OK,11
1760132357192,TEXT,40,OK,20
1760132357192,JOIN,40,ERROR,16
1760132357192,TEXT,40,ERROR,20
1760132357192,TEXT,40,ERROR,3
1760132357192,JOIN,40,ERROR,14
1760132357192,TEXT,40,OK,16
1760132357192,TEXT,40,OK,1
1760132357192,TEXT,40,OK,13
1760132357209,TEXT,26,OK,7
1760132357192,TEXT,43,OK,10
1760132357192,TEXT,45,ERROR,13
1760132357192,TEXT,45,OK,8
1760132357192,TEXT,45,OK,17
1760132357192,LEAVE,45,OK,7
1760132357192,TEXT,45,OK,19
1760132357192,TEXT,45,OK,19
1760132357199,TEXT,38,ERROR,9
1760132357192,TEXT,46,OK,7
1760132357192,TEXT,46,OK,11
1760132357192,TEXT,46,OK,15
1760132357209,TEXT,29,OK,4
1760132357211,TEXT,27,OK,6
1760132357211,TEXT,27,OK,6
1760132357209,TEXT,30,OK,17
1760132357209,TEXT,30,OK,18
1760132357211,TEXT,29,OK,2
1760132357211,TEXT,29,OK,17
1760132357211,TEXT,30,OK,3
1760132357211,TEXT,32,ERROR,3
1760132357211,LEAVE,32,OK,11
1760132357211,JOIN,32,ERROR,10
1760132357211,TEXT,32,OK,4
1760132357211,TEXT,33,OK,12
1760132357211,TEXT,33,OK,5
1760132357211,TEXT,33,OK,17
1760132357211,TEXT,33,ERROR,7
1760132357211,TEXT,33,ERROR,5
1760132357222,TEXT,24,OK,2
1760132357218,TEXT,28,OK,20
1760132357221,TEXT,25,OK,12
1760132357221,TEXT,25,ERROR,19
1760132357223,TEXT,30,OK,11
1760132357229,TEXT,24,OK,13
1760132357232,TEXT,26,OK,16
1760132357231,TEXT,30,ERROR,8
1760132357232,TEXT,31,OK,9
1760132357231,TEXT,32,ERROR,5
1760132357237,LEAVE,26,OK,19
1760132357232,TEXT,31,ERROR,3
1760132357231,TEXT,32,OK,16
1760132357237,JOIN,26,OK,9
1760132357235,TEXT,28,OK,7
1760132357231,TEXT,32,OK,12
1760132357232,TEXT,31,OK,1
1760132357232,TEXT,32,ERROR,20
1760132357238,TEXT,26,OK,4
1760132357232,TEXT,32,OK,14
1760132357231,JOIN,33,OK,3
1760132357231,TEXT,35,OK,14
1760132357232,TEXT,34,OK,20
1760132357232,TEXT,35,OK,16
1760132357232,JOIN,35,ERROR,13
1760132357237,TEXT,30,OK,8
1760132357232,TEXT,35,OK,11
1760132357235,TEXT,32,OK,10
1760132357237,TEXT,30,OK,7
1760132357238,JOIN,29,ERROR,11
1760132357237,TEXT,30,OK,19
1760132357239,TEXT,28,OK,18
1760132357239,TEXT,29,OK,17
1760132357240,TEXT,28,ERROR,17
1760132357241,TEXT,31,OK,3
1760132357243,TEXT,29,OK,11
1760132357243,TEXT,29,ERROR,10
1760132357243,TEXT,29,ERROR,3
1760132357238,TEXT,34,OK,15
1760132357238,TEXT,34,OK,6
1760132357238,JOIN,40,OK,6
1760132357237,TEXT,41,ERROR,13
1760132357240,TEXT,40,OK,2
1760132357237,TEXT,43,OK,17
1760132357243,TEXT,37,OK,4
1760132357244,TEXT,36,OK,12
1760132357238,TEXT,42,OK,7
1760132357244,TEXT,36,ERROR,5
1760132357246,TEXT,35,ERROR,19
1760132357244,TEXT,37,OK,7
1760132357244,JOIN,37,ERROR,17
1760132357246,TEXT,35,OK,12
1760132357246,TEXT,35,OK,2
1760132357244,TEXT,37,OK,5
1760132357253,JOIN,38,ERROR,11
1760132357258,TEXT,33,OK,16
1760132357253,TEXT,38,OK,13
1760132357246,TEXT,45,OK,20
1760132357267,TEXT,32,OK,11
1760132357263,TEXT,47,OK,12
1760132357262,TEXT,48,ERROR,8
1760132357263,TEXT,47,ERROR,5
1760132357263,TEXT,47,OK,7
1760132357264,TEXT,46,OK,4
1760132357268,TEXT,42,ERROR,17
1760132357266,TEXT,44,OK,14
1760132357268,TEXT,42,OK,17
1760132357263,TEXT,47,OK,9
1760132357263,TEXT,47,OK,16
1760132357264,JOIN,46,ERROR,14
1760132357267,TEXT,43,OK,11
1760132357263,TEXT,47,OK,1
1760132357263,TEXT,47,OK,19
1760132357263,TEXT,47,ERROR,3
1760132357267,TEXT,43,OK,16
1760132357267,TEXT,43,OK,10
1760132357267,TEXT,44,OK,8
1760132357267,TEXT,44,OK,19
1760132357264,JOIN,47,OK,20
1760132357264,TEXT,47,ERROR,3
1760132357267,TEXT,44,OK,20
1760132357267,TEXT,44,OK,13
1760132357267,TEXT,44,OK,18
1760132357267,TEXT,44,ERROR,7
1760132357263,TEXT,48,ERROR,9
1760132357272,TEXT,39,ERROR,11
1760132357281,TEXT,34,OK,12
1760132357281,TEXT,35,ERROR,19
1760132357281,TEXT,35,OK,2
1760132357291,TEXT,25,OK,20
1760132357291,TEXT,26,OK,11
1760132357291,JOIN,28,ERROR,13
1760132357280,TEXT,43,OK,2
1760132357278,TEXT,45,ERROR,6
1760132357272,TEXT,53,OK,3
1760132357272,TEXT,53,OK,10
1760132357272,TEXT,53,ERROR,3
1760132357280,TEXT,46,OK,4
1760132357280,TEXT,46,OK,12
1760132357281,TEXT,45,OK,5
1760132357272,TEXT,54,OK,6
1760132357281,JOIN,45,ERROR,17
1760132357280,TEXT,46,ERROR,5
1760132357281,JOIN,45,OK,7
1760132357272,TEXT,54,OK,15
1760132357278,TEXT,48,ERROR,13
1760132357280,TEXT,46,OK,17
1760132357280,TEXT,46,OK,7
1760132357310,TEXT,16,OK,12
1760132357291,TEXT,35,OK,16
1760132357299,TEXT,27,OK,11
1760132357310,TEXT,16,ERROR,8
1760132357310,TEXT,26,ERROR,5
1760132357310,TEXT,27,OK,7
1760132357310,TEXT,32,ERROR,19
1760132357310,TEXT,33,OK,16
1760132357311,TEXT,33,OK,18
1760132357310,TEXT,36,OK,17
1760132357310,TEXT,36,OK,9
1760132357310,TEXT,36,ERROR,17
1760132357310,TEXT,36,OK,1
1760132357310,TEXT,36,OK,14
1760132357310,TEXT,36,OK,14
1760132357310,TEXT,38,ERROR,3
1760132357310,TEXT,38,OK,11
1760132357310,TEXT,38,OK,16
1760132357229,TEXT,119,OK,4
1760132357232,TEXT,116,OK,4
1760132357224,TEXT,124,OK,16
1760132357223,TEXT,125,OK,15
1760132357217,TEXT,131,OK,19
1760132357223,TEXT,125,OK,18
1760132357229,TEXT,119,OK,10
1760132357229,LEAVE,119,OK,1
1760132357222,TEXT,126,OK,9
1760132357223,TEXT,125,OK,18
1760132357310,JOIN,38,ERROR,10
1760132357311,TEXT,37,OK,8
1760132357226,TEXT,124,OK,6
1760132357226,TEXT,124,ERROR,2
1760132357229,TEXT,121,OK,5
1760132357223,TEXT,127,ERROR,15
1760132357311,JOIN,39,OK,19
1760132357222,TEXT,128,OK,18
1760132357230,TEXT,120,OK,13
1760132357166,TEXT,185,OK,6
1760132357311,TEXT,40,OK,3
1760132357310,TEXT,41,OK,4
1760132357229,TEXT,122,OK,20
1760132357219,TEXT,132,OK,14
1760132357229,TEXT,122,OK,2
1760132357208,TEXT,149,OK,12
1760132357223,TEXT,134,OK,8
1760132357223,TEXT,136,ERROR,10
1760132357224,TEXT,135,OK,1
1760132357232,TEXT,127,OK,9
1760132357227,TEXT,132,OK,15
1760132357208,TEXT,151,OK,1
1760132357311,TEXT,72,ERROR,7
1760132357319,TEXT,71,OK,13
1760132357317,TEXT,74,OK,11
1760132357326,JOIN,65,OK,12
1760132357311,TEXT,85,OK,9
1760132357316,TEXT,80,OK,20
1760132357325,TEXT,76,OK,3
1760132357311,TEXT,90,ERROR,11
1760132357326,TEXT,75,OK,4
1760132357326,TEXT,75,OK,12
1760132357326,TEXT,75,ERROR,7
1760132357325,TEXT,76,OK,10
1760132357315,TEXT,86,OK,12
1760132357316,TEXT,85,ERROR,19
1760132357316,TEXT,85,OK,2
1760132357323,TEXT,78,OK,2
1760132357325,LEAVE,76,ERROR,3
1760132357326,TEXT,75,OK,5
1760132357323,TEXT,78,OK,6
1760132357311,TEXT,90,OK,20
1760132357311,TEXT,90,OK,20
1760132357326,TEXT,75,ERROR,5
1760132357311,TEXT,90,OK,13
1760132357326,TEXT,159,OK,15
1760132357391,TEXT,98,OK,11
1760132357326,TEXT,164,OK,16
1760132357390,TEXT,102,OK,13
1760132357396,TEXT,96,OK,9
1760132357396,TEXT,96,OK,20
1760132357391,TEXT,102,ERROR,12
1760132357350,TEXT,143,ERROR,15
1760132357401,TEXT,92,OK,6
1760132357326,TEXT,168,ERROR,8
1760132357348,TEXT,146,OK,18
1760132357348,TEXT,146,OK,15
1760132357337,TEXT,157,OK,7
1760132357350,TEXT,144,OK,18
1760132357351,TEXT,143,OK,4
1760132357344,LEAVE,150,OK,18
1760132357359,TEXT,135,OK,1
1760132357336,TEXT,158,ERROR,5
1760132357357,TEXT,137,OK,8
1760132357346,JOIN,148,OK,17
1760132357401,TEXT,93,OK,2
1760132357351,TEXT,143,OK,3
1760132357348,TEXT,146,ERROR,18
1760132357346,TEXT,148,ERROR,17
1760132357359,TEXT,135,ERROR,10
1760132357348,TEXT,154,OK,16
1760132357346,TEXT,160,OK,14
1760132357348,TEXT,158,OK,19
1760132357401,TEXT,105,OK,3
1760132357401,TEXT,105,OK,10
1760132357348,TEXT,158,OK,9
1760132357359,TEXT,147,OK,15
1760132357401,TEXT,105,ERROR,3
1760132357401,TEXT,105,ERROR,11
1760132357401,TEXT,105,OK,5
1760132357351,TEXT,155,OK,2
1760132357350,TEXT,156,OK,6
1760132357348,TEXT,158,OK,10
1760132357348,TEXT,158,ERROR,4
1760132357357,TEXT,149,OK,12
1760132357348,TEXT,158,ERROR,1
1760132357401,LEAVE,106,ERROR,5
1760132357401,TEXT,106,OK,7
1760132357351,TEXT,156,OK,20
1760132357401,TEXT,106,OK,12
1760132357350,JOIN,157,OK,5
1760132357359,TEXT,148,OK,1
1760132357343,TEXT,164,OK,16
1760132357350,JOIN,157,ERROR,2
1760132357348,TEXT,159,OK,11
1760132357350,JOIN,157,OK,13
1760132357401,TEXT,106,OK,20
1760132357346,TEXT,161,OK,9
1760132357401,TEXT,106,OK,20
1760132357346,TEXT,161,OK,14
1760132357351,TEXT,156,OK,6
1760132357342,TEXT,165,ERROR,19
1760132357346,TEXT,161,OK,1
1760132357401,TEXT,106,OK,13
1760132357359,TEXT,148,OK,9
1760132357348,TEXT,159,OK,10
1760132357351,TEXT,156,OK,14
1760132357348,TEXT,159,ERROR,3
1760132357348,TEXT,159,OK,16
1760132357326,TEXT,181,ERROR,13
1760132357348,JOIN,159,OK,4
1760132357507,TEXT,0,OK,4
1760132357326,TEXT,181,OK,17
1760132357348,TEXT,159,OK,8
1760132357401,TEXT,106,ERROR,19
1760132357350,JOIN,157,ERROR,19
1760132357326,TEXT,181,OK,11
1760132357383,TEXT,124,ERROR,7
1760132357401,TEXT,106,OK,2
1760132357326,TEXT,181,OK,7
1760132357401,JOIN,106,ERROR,4
1760132357401,TEXT,106,OK,12
1760132357490,TEXT,33,OK,16
1760132357492,TEXT,32,OK,13
1760132357493,TEXT,31,OK,12
1760132357494,TEXT,34,OK,18
1760132357492,TEXT,36,OK,9
1760132357494,TEXT,34,OK,15
1760132357494,TEXT,34,ERROR,8
1760132357494,LEAVE,34,OK,1
1760132357494,TEXT,34,ERROR,5
1760132357494,TEXT,34,OK,8
1760132357494,TEXT,34,OK,18
1760132357494,TEXT,34,ERROR,18
1760132357494,TEXT,34,ERROR,10
1760132357494,TEXT,34,OK,7
1760132357494,TEXT,35,OK,18
1760132357485,TEXT,44,OK,15
1760132357494,TEXT,35,OK,4
1760132357494,TEXT,35,ERROR,17
1760132357493,TEXT,36,OK,6
1760132357494,TEXT,36,ERROR,17
1760132357494,TEXT,36,OK,2
1760132357489,TEXT,41,OK,11
1760132357482,TEXT,48,OK,14
1760132357475,TEXT,55,OK,8
1760132357494,TEXT,36,OK,3
1760132357530,TEXT,0,OK,14
1760132357493,TEXT,37,ERROR,15
1760132357492,TEXT,38,OK,20
1760132357502,TEXT,32,OK,16
1760132357506,TEXT,30,OK,19
1760132357506,TEXT,30,OK,3
1760132357506,TEXT,30,OK,9
1760132357506,TEXT,30,OK,15
1760132357506,LEAVE,30,OK,14
1760132357506,TEXT,30,ERROR,11
1760132357506,TEXT,30,OK,10
1760132357506,TEXT,30,OK,10
1760132357506,TEXT,30,ERROR,4
1760132357506,TEXT,30,OK,6
1760132357506,TEXT,30,OK,12
1760132357506,TEXT,30,OK,5
1760132357507,TEXT,29,OK,7
1760132357506,LEAVE,30,ERROR,1
1760132357506,JOIN,30,OK,2
1760132357506,TEXT,30,ERROR,3
1760132357507,TEXT,29,ERROR,5
1760132357507,TEXT,40,OK,12
1760132357507,TEXT,40,OK,2
1760132357507,TEXT,40,ERROR,13
1760132357507,TEXT,40,ERROR,19
1760132357507,TEXT,40,OK,20
1760132357507,TEXT,40,ERROR,5
1760132357507,TEXT,40,OK,16
1760132357507,TEXT,40,OK,11
1760132357507,TEXT,40,OK,9
1760132357507,TEXT,40,OK,6
1760132357507,TEXT,40,ERROR,4
1760132357507,TEXT,40,OK,1
1760132357507,TEXT,40,ERROR,19
1760132357507,TEXT,40,OK,14
1760132357507,TEXT,40,OK,2
1760132357507,TEXT,40,OK,11
1760132357507,TEXT,40,ERROR,13
1760132357507,TEXT,40,OK,12
1760132357507,TEXT,40,OK,4
1760132357507,TEXT,41,OK,9
1760132357507,TEXT,41,OK,20
1760132357507,TEXT,41,OK,1
1760132357507,TEXT,41,OK,14
1760132357507,TEXT,40,OK,17
1760132357507,TEXT,41,ERROR,3
1760132357507,LEAVE,41,OK,20
1760132357507,JOIN,41,ERROR,13
1760132357507,TEXT,41,OK,16
1760132357507,JOIN,41,OK,8
1760132357507,TEXT,41,OK,10
1760132357507,TEXT,41,ERROR,7
1760132357507,TEXT,41,OK,7
1760132357507,TEXT,43,ERROR,19
1760132357523,TEXT,31,OK,16
1760132357524,TEXT,38,OK,13
1760132357524,TEXT,40,OK,12
1760132357528,TEXT,36,OK,18
1760132357528,TEXT,36,OK,9
1760132357530,TEXT,34,OK,20
1760132357530,TEXT,34,ERROR,15
1760132357528,TEXT,36,ERROR,18
1760132357528,TEXT,36,OK,8
1760132357528,TEXT,36,OK,15
1760132357528,TEXT,36,ERROR,5
1760132357528,TEXT,36,OK,1
1760132357528,TEXT,36,ERROR,8
1760132357529,TEXT,35,OK,18
1760132357528,LEAVE,36,OK,7
1760132357528,TEXT,36,ERROR,10
1760132357529,TEXT,35,OK,6
1760132357528,TEXT,36,ERROR,18
