Time_Seconds,Messages_Per_Second
0,1174.7
10,1416.9
20,1237.0
30,1189.5
40,1185.7
50,1375.3
60,1200.2
70,1231.5
80,1013.2
90,1327.2
100,1310.5
110,1423.1
120,1282.1
130,1337.8
140,1460.8
150,1314.4
160,1255.7
170,1339.1
180,1404.0
190,1233.2
200,1340.2
210,1363.1
220,1349.5
230,1403.3
240,1203.2
250,1505.0
260,1442.4
270,1186.4
280,1338.9
290,1247.4
300,1264.8
310,1338.6
320,1373.1
330,1128.1
340,1235.5
350,1271.4
360,1022.9
370,768.0
380,693.4
390,712.7
400,99.8
